date,country,confirmed,deaths,recovered,active
2018-01-14,Malaysia,1772396,20522,1568771,183103
2004-06-29,Kenya,1432827,1227,1073995,357605
2004-05-22,UK,839850,20351,499948,319551
2002-09-05,Germany,1356026,2008,1215276,138742
2003-12-13,Mexico,577189,107,492406,84676
2018-02-14,Italy,1498737,27220,1250357,221160
2005-04-30,Indonesia,232474,5761,118587,108126
2003-10-16,Bangladesh,1052001,11914,582704,457383
2009-01-04,Indonesia,1168732,23175,778347,367210
2016-09-27,South Korea,904493,21002,829871,53620
2023-05-30,Malaysia,919920,1411,467715,450794
2015-12-23,Italy,1519404,41956,1005472,471976
2003-05-02,Canada,343935,5521,267701,70713
2023-06-10,Bangladesh,1075396,23460,876642,175294
2011-09-21,China,1946007,50068,1429102,466837
2021-10-25,France,59975,353,41258,18364
2016-04-14,Canada,147698,3503,88273,55922
2009-03-21,Germany,1835669,42954,1158914,633801
2022-03-26,Germany,1109150,25230,558222,525698
2001-03-13,Italy,1579559,35590,882142,661827
2019-03-29,Mexico,1231274,17172,1034116,179986
2004-05-24,Russia,1624785,12113,830719,781953
2000-06-07,Indonesia,1617572,47699,921225,648648
2002-02-09,Saudi Arabia,341335,8055,269753,63527
2006-12-01,Kenya,1057810,29606,874842,153362
2007-04-22,Germany,1978918,23586,1722678,232654
2023-11-24,Australia,1473696,29199,795140,649357
2024-06-23,Turkey,1620051,23275,1219298,377478
2006-08-18,Pakistan,670678,11592,350582,308504
2021-02-24,Egypt,266771,1273,230764,34734
2011-04-24,Brazil,326161,3866,233571,88724
2015-11-29,South Korea,1244967,23912,1035247,185808
2020-12-18,Argentina,1626005,21411,1224586,380008
2018-12-20,Vietnam,481287,5655,399511,76121
2000-11-15,Germany,1536023,13133,1331320,191570
2000-08-03,Brazil,1123107,21380,859585,242142
2000-05-31,South Korea,818665,14195,628018,176452
2001-08-20,Italy,1148261,8726,658642,480893
2009-09-11,Spain,1847051,6373,1184936,655742
2017-04-06,Germany,1540052,44447,1337317,158288
2019-04-22,USA,1401930,3120,856390,542420
2003-08-19,France,137584,2658,74565,60361
2014-03-13,Germany,1288821,16979,946025,325817
2002-04-20,Russia,1887775,20752,1244428,622595
2005-07-23,Saudi Arabia,840931,15907,726235,98789
2005-07-19,South Korea,545344,13115,478757,53472
2013-08-09,Indonesia,1254450,23809,964408,266233
2010-01-10,Germany,533009,2207,487570,43232
2009-04-02,USA,674288,10894,614980,48414
2011-05-13,Philippines,598291,6093,531492,60706
2009-01-27,Italy,1298063,2996,718625,576442
2004-12-29,Malaysia,1653620,37106,1296795,319719
2011-06-01,Vietnam,872039,13368,757134,101537
2008-10-12,France,1470725,27823,1184058,258844
2017-12-12,Bangladesh,1264532,32592,1016523,215417
2013-01-02,Mexico,406618,6091,266462,134065
2013-08-02,UK,1786842,11802,1458512,316528
2012-12-17,Italy,99755,713,52741,46301
2001-01-22,Turkey,497325,12587,418824,65914
2015-12-02,USA,355151,7284,324149,23718
2020-07-06,China,1703368,22591,1225379,455398
2003-01-18,South Korea,36880,743,20499,15638
2014-03-15,Spain,372474,10768,316236,45470
2015-10-23,Germany,1969212,40601,1294955,633656
2023-04-02,Spain,509882,5110,318375,186397
2013-11-18,Russia,1898489,13650,1062863,821976
2024-07-30,UK,1254341,22947,682786,548608
2022-03-31,UK,1075984,13477,746912,315595
2012-08-23,China,1631842,38440,1448495,144907
2000-03-18,Saudi Arabia,716512,20416,409102,286994
2024-06-17,Kenya,439548,788,249439,189321
2008-02-11,USA,786319,15147,403598,367574
2015-10-11,Australia,1355119,1507,947717,405895
2013-02-16,South Africa,122879,2472,103240,17167
2019-05-30,Indonesia,113240,3223,90439,19578
2015-12-26,China,968762,23225,588451,357086
2017-09-19,Malaysia,1044395,13915,919661,110819
2005-08-04,Vietnam,72662,1220,49289,22153
2009-07-30,China,334433,2631,293119,38683
2016-05-26,Turkey,1381109,25819,1156128,199162
2023-12-07,Pakistan,653581,995,558585,94001
2017-04-27,Kenya,589164,1239,530146,57779
2010-06-09,Pakistan,1453714,19697,855126,578891
2022-09-07,Bangladesh,327432,8749,244326,74357
2009-11-17,Indonesia,1581641,20429,1308195,253017
2009-09-21,Russia,1135677,3089,621413,511175
2009-12-05,France,1329704,15327,942267,372110
2010-03-18,Thailand,1670707,47977,1492256,130474
2014-11-21,Russia,1660723,40645,1422782,197296
2024-05-23,Argentina,1630981,47546,1081177,502258
2009-10-01,UK,1303994,14350,944071,345573
2019-01-23,Canada,202937,549,156527,45861
2009-01-03,Germany,1686597,22153,1123585,540859
2011-01-31,USA,1042710,16582,754336,271792
2017-04-22,Vietnam,1048800,7003,947228,94569
2015-04-24,Argentina,742576,8271,553405,180900
2013-04-06,Cambodia,276758,5893,212110,58755
2001-07-04,Vietnam,959552,10819,680367,268366
2002-11-12,Egypt,807452,20027,429036,358389
2014-11-09,Cambodia,1617580,8777,966791,642012
2004-12-03,Italy,1814665,29219,1155152,630294
2014-01-09,Cambodia,1986270,21928,1173875,790467
2012-05-25,Japan,1618362,41573,1443990,132799
2000-05-08,South Africa,790869,9972,397931,382966
2018-02-04,Australia,962809,28164,792951,141694
2019-07-11,Thailand,250112,1716,204810,43586
2006-09-01,China,1008681,21078,929439,58164
2002-01-05,UK,1412368,4210,1316267,91891
2015-07-26,Italy,808132,10190,510077,287865
2014-02-01,Mexico,1380231,3951,908550,467730
2013-04-16,Germany,834086,7949,474384,351753
2020-03-20,Russia,1634144,48589,1548735,36820
2000-09-17,Spain,1186236,24924,941593,219719
2015-05-20,Brazil,1865456,53740,1194978,616738
2000-09-24,Malaysia,1489687,23646,1036548,429493
2017-06-09,Argentina,167832,4640,139510,23682
2013-08-03,South Africa,218685,4699,150580,63406
2006-12-30,Pakistan,1574908,2123,1264965,307820
2006-10-31,Argentina,921945,20730,807164,94051
2013-01-16,Japan,1404938,12331,737173,655434
2004-04-28,Italy,1967350,4066,1864150,99134
2021-04-22,Malaysia,982381,8330,628440,345611
2022-01-15,Argentina,296075,974,161361,133740
2023-12-22,Malaysia,1477564,34945,830761,611858
2012-05-27,Indonesia,1304138,15971,702507,585660
2016-04-26,Pakistan,510847,5924,336605,168318
2003-07-17,Spain,1753442,28472,1617481,107489
2012-11-23,Cambodia,1433202,15472,773432,644298
2001-07-08,Cambodia,1252274,31928,1068650,151696
2024-03-26,Mexico,1474646,28792,952334,493520
2001-09-25,Italy,1717247,31951,1599133,86163
2024-03-17,Brazil,864926,9221,517573,338132
2007-10-20,South Korea,1876384,6652,1252352,617380
2009-11-03,Brazil,1624121,5959,949360,668802
2008-02-23,France,512861,833,274421,237607
2015-09-06,Egypt,1403,30,1292,81
2008-05-06,Thailand,1520229,11457,1023170,485602
2011-11-14,South Africa,1216059,8225,787856,419978
2022-03-29,Saudi Arabia,1631771,31019,974549,626203
2014-11-03,Malaysia,777134,16488,411963,348683
2021-12-16,Argentina,449212,1663,290846,156703
2004-09-22,Canada,245872,2528,141013,102331
2014-10-17,France,1884317,52695,1070899,760723
2005-05-29,Cambodia,1943367,49934,1541369,352064
2005-12-14,Bangladesh,880780,15980,605749,259051
2009-07-10,India,1333778,6385,1214801,112592
2015-02-28,Vietnam,12482,161,7700,4621
2004-05-30,Brazil,1852453,15124,1409781,427548
2010-09-09,Russia,1445810,7837,1141961,296012
2000-01-22,Cambodia,938425,2923,643340,292162
2022-06-21,UK,1643689,38272,937825,667592
2024-08-20,Turkey,870390,20743,622274,227373
2002-11-08,Indonesia,1886342,6092,1375766,504484
2009-01-11,Malaysia,615238,15941,502600,96697
2015-12-29,Mexico,587913,2510,326646,258757
2012-06-17,Mexico,207994,5108,148658,54228
2001-11-28,Japan,453188,1360,372141,79687
2014-05-29,Mexico,1364442,15627,824050,524765
2003-12-14,Mexico,1295611,14221,698795,582595
2010-04-26,Kenya,624632,9582,371040,244010
2015-02-28,Egypt,551756,11853,342721,197182
2020-04-02,Argentina,1883373,48686,964367,870320
2017-05-12,Vietnam,299340,1824,196192,101324
2002-09-26,Kenya,684825,16137,448803,219885
2000-12-24,Bangladesh,1130709,16210,727149,387350
2005-11-10,Canada,431495,6087,339157,86251
2005-10-01,Mexico,160704,1825,124957,33922
2004-05-09,South Korea,571893,1821,444172,125900
2002-11-20,Italy,1170442,15107,615098,540237
2023-12-07,South Africa,1442249,31423,877149,533677
2015-01-22,Japan,222482,4094,125090,93298
2018-06-25,UK,1363350,30478,973719,359153
2008-10-31,Argentina,1719955,36238,976411,707306
2010-12-21,Germany,1961385,359,1734139,226887
2010-11-03,Bangladesh,1650012,4265,1285236,360511
2002-10-07,South Korea,551586,1220,357066,193300
2020-11-25,Pakistan,1828431,24162,1145548,658721
2011-08-15,UK,1542276,33326,1157146,351804
2010-05-05,Thailand,1918611,9700,1039402,869509
2008-03-08,Germany,1174939,18991,809251,346697
2022-08-02,Spain,1148442,22638,879465,246339
2022-02-16,South Africa,290631,2577,211738,76316
2004-11-17,China,268118,693,230968,36457
2009-07-08,Germany,1898053,42377,1081319,774357
2013-04-20,China,1843950,24597,1218003,601350
2015-12-15,Mexico,81827,134,50189,31504
2001-02-12,Saudi Arabia,1741518,28765,1365948,346805
2017-02-20,Cambodia,1565428,15079,1004144,546205
2005-11-13,Philippines,1253824,16034,1172948,64842
2011-01-25,Cambodia,1136933,10030,898774,228129
2006-11-08,Japan,222484,743,193968,27773
2017-07-17,South Korea,1741216,32093,924419,784704
2000-05-13,France,1693968,48127,1141277,504564
2003-12-27,Spain,1138724,28349,1063802,46573
2001-04-11,Mexico,112916,2675,105515,4726
2020-04-15,Canada,569365,6938,535397,27030
2011-11-21,Germany,1415045,31101,1003129,380815
2008-10-24,Turkey,170955,4614,116615,49726
2007-02-01,Turkey,678759,2987,610575,65197
2005-10-19,Germany,1775803,33804,1333242,408757
2017-07-06,Kenya,1955216,53721,1346142,555353
2019-10-25,Russia,1140419,22718,703972,413729
2014-10-10,Kenya,606490,8439,442131,155920
2021-06-19,Philippines,1139719,24407,831406,283906
2019-04-10,Spain,443352,10706,283367,149279
2012-02-17,Mexico,960437,7241,745745,207451
2003-11-14,Cambodia,460529,78,376362,84089
2007-07-23,Australia,1569433,15062,902852,651519
2024-04-19,Canada,1948548,17937,1268785,661826
2019-10-30,Kenya,359308,5804,279004,74500
2009-03-18,Turkey,1184926,24940,654091,505895
2016-11-21,USA,974989,5773,885588,83628
2018-06-09,Indonesia,1029676,18297,554569,456810
2008-02-24,South Korea,1456340,20278,1278454,157608
2011-03-15,Bangladesh,1110622,27444,967982,115196
2013-04-07,Turkey,873768,431,595699,277638
2008-11-29,Canada,263297,6195,215145,41957
2007-12-20,Australia,1474010,26727,1279951,167332
2013-07-12,Argentina,1644519,29253,926696,688570
2002-01-16,Germany,1713330,21308,1597477,94545
2012-03-04,Germany,160487,2643,146987,10857
2015-09-12,USA,1674529,37574,1079870,557085
2001-05-29,Australia,1066765,24462,813547,228756
2008-06-29,Japan,241558,5411,198219,37928
2009-08-10,Italy,1694457,9681,1490945,193831
2004-01-09,Germany,1394627,16557,829388,548682
2006-02-16,Australia,1844991,29919,1333338,481734
2013-10-05,Russia,90978,1290,69539,20149
2002-01-31,Saudi Arabia,374222,10853,280247,83122
2019-04-21,Philippines,1727016,40475,1131281,555260
2023-09-03,Saudi Arabia,1626507,21839,1416247,188421
2020-07-05,Saudi Arabia,763440,10917,470341,282182
2002-07-25,Brazil,1361760,13553,1137022,211185
2007-05-18,Vietnam,228938,6681,166508,55749
2003-03-21,Saudi Arabia,1640321,26540,1074668,539113
2010-03-17,Spain,1195759,8827,866658,320274
2014-01-18,France,1408052,15647,1275257,117148
2001-04-20,Brazil,1141865,11819,1044340,85706
2010-04-05,Germany,704774,14353,611798,78623
2016-07-30,UK,997804,3475,738252,256077
2021-12-10,Philippines,1430313,32984,1043678,353651
2021-10-04,Indonesia,1591892,2904,1004050,584938
2008-04-03,India,1200599,34183,890392,276024
2004-07-05,Philippines,1754531,15181,1230637,508713
2016-08-30,Canada,1010256,28696,880689,100871
2021-10-21,Germany,652173,8193,439855,204125
2009-02-03,South Korea,10178,141,6335,3702
2023-09-13,Turkey,1960010,3225,1037725,919060
2008-05-07,Kenya,210919,5188,150037,55694
2011-12-28,Argentina,1142043,30760,759304,351979
2000-07-24,Argentina,1808342,24672,1637114,146556
2013-11-27,Argentina,1366973,6570,1224193,136210
2004-09-03,Canada,1229703,29775,808269,391659
2022-07-19,China,917022,3836,854395,58791
2011-07-26,Russia,1830629,38741,1191783,600105
2024-05-31,France,1568233,12475,939489,616269
2014-06-19,Saudi Arabia,981683,29415,492569,459699
2006-08-12,USA,340663,8273,258988,73402
2012-03-05,Thailand,208336,1461,188219,18656
2013-03-21,Turkey,864782,9185,451310,404287
2015-08-01,South Africa,1764174,43150,1003164,717860
2010-01-22,Germany,673659,19560,502832,151267
2022-11-30,USA,1117218,7143,647181,462894
2022-02-26,Brazil,102062,2867,87391,11804
2016-06-13,Russia,1450331,6355,1231496,212480
2003-11-22,Vietnam,456324,12234,247813,196277
2011-03-31,Saudi Arabia,1297830,14037,1164644,119149
2005-03-17,Bangladesh,1078923,3663,911411,163849
2002-10-24,Vietnam,706155,13017,448947,244191
2015-08-02,Argentina,1380057,26257,1300001,53799
2019-12-23,Japan,1073996,13109,578443,482444
2019-10-15,South Korea,924865,15226,743112,166527
2022-04-28,Saudi Arabia,51734,454,31925,19355
2005-11-13,Saudi Arabia,337222,7242,302301,27679
2001-09-30,Bangladesh,1562184,41052,1335613,185519
2007-01-29,Japan,1915309,28445,1293196,593668
2000-11-30,Kenya,1224349,12088,630326,581935
2004-08-09,Canada,531470,2384,442411,86675
2000-10-01,Argentina,28709,158,26295,2256
2018-12-10,Canada,957880,18257,737347,202276
2010-08-19,India,1799434,19067,1649918,130449
2008-02-05,Malaysia,1735966,30013,1317283,388670
2004-06-27,Canada,138190,799,77155,60236
2007-10-03,China,1878568,22030,1310427,546111
2016-06-18,Germany,1484068,31634,923387,529047
2018-01-03,China,746472,11415,685979,49078
2009-01-29,South Korea,1578332,12133,869501,696698
2006-10-07,UK,674544,13432,566779,94333
2024-02-08,Bangladesh,601389,16881,460324,124184
2024-06-19,Spain,518739,8462,476745,33532
2005-04-01,China,652703,16666,335082,300955
2012-07-18,South Africa,1944968,52603,1763601,128764
2009-07-02,Philippines,1319334,21802,695087,602445
2005-04-09,France,1252661,23874,1161712,67075
2016-04-24,Vietnam,446244,10256,302373,133615
2022-06-17,Philippines,1321724,9409,897516,414799
2007-10-18,Bangladesh,535180,5290,346961,182929
2007-05-11,Australia,1891141,16554,1794461,80126
2003-05-31,South Africa,1282054,22400,847836,411818
2009-01-01,Egypt,1425923,28207,1215979,181737
2010-06-27,Pakistan,612922,10737,554490,47695
2003-11-19,France,629649,6269,523497,99883
2003-01-15,Germany,916457,3071,581366,332020
2023-04-08,Brazil,610816,11511,332154,267151
2011-12-19,Thailand,751615,15729,699627,36259
2002-01-31,Germany,236895,350,188595,47950
2011-08-29,Brazil,1701260,18486,1241202,441572
2013-11-22,Kenya,1891108,46085,956277,888746
2019-01-30,Thailand,1333056,9342,755026,568688
2015-08-25,Brazil,1471729,43548,1176841,251340
2000-12-03,Pakistan,1702148,35577,1121119,545452
2005-07-16,South Africa,973618,29203,623097,321318
2016-07-23,Egypt,340842,1885,209403,129554
2009-01-11,Brazil,7097,145,3773,3179
2022-07-16,USA,1540922,17266,1145565,378091
2014-06-07,Canada,1279868,21179,978787,279902
2012-08-03,UK,924635,10490,704836,209309
2009-04-05,Kenya,1938668,32593,999065,907010
2022-08-26,USA,1520934,37107,1111554,372273
2005-02-05,UK,1821192,28857,1581437,210898
2000-04-22,Vietnam,58787,266,41725,16796
2018-07-18,Germany,830495,1158,580522,248815
2018-07-05,USA,384249,3107,278247,102895
2011-03-02,France,1670995,18147,1088498,564350
2022-07-30,Brazil,336934,369,285738,50827
2017-12-09,Mexico,1873317,24539,1448891,399887
2016-11-08,Thailand,679415,14793,566006,98616
2020-07-15,Russia,1961191,28212,1826398,106581
2017-05-06,USA,1403524,15588,704194,683742
2022-12-01,Spain,614806,1359,446559,166888
2009-10-03,Thailand,1023269,16335,572348,434586
2014-05-24,Turkey,1868432,53846,1022838,791748
2017-01-15,UK,755685,1199,669280,85206
2001-03-01,Bangladesh,1816942,6537,1363788,446617
2007-12-18,Argentina,1374728,30518,1271020,73190
2015-11-13,USA,1409727,18731,1224339,166657
2021-02-25,Russia,1297431,17270,799949,480212
2018-04-15,UK,1193279,8951,853319,331009
2010-09-22,Egypt,129160,2875,67603,58682
2011-09-07,Argentina,403404,1945,289032,112427
2024-01-20,Indonesia,551825,15158,309267,227400
2006-03-03,UK,1162068,25784,915206,221078
2011-11-25,Bangladesh,865133,20828,505717,338588
2019-09-03,Indonesia,675214,15969,574077,85168
2002-08-10,UK,1757000,2726,1527297,226977
2010-12-02,South Africa,341850,4926,184079,152845
2002-06-12,Egypt,986416,26876,640202,319338
2014-07-10,Saudi Arabia,1778756,12566,1101432,664758
2021-05-18,Egypt,144066,2570,93960,47536
2000-06-09,South Korea,1225186,26265,1061271,137650
2002-08-16,Spain,1862555,31362,1553965,277228
2016-03-17,Italy,1991234,20829,1010650,959755
2003-12-29,South Korea,232559,6898,163247,62414
2001-09-18,Cambodia,927563,3992,707431,216140
2007-08-19,Thailand,1283525,9720,999175,274630
2013-03-20,Argentina,1675760,44898,1378235,252627
2018-01-12,Pakistan,240163,5483,133296,101384
2022-06-29,South Korea,1765003,42455,1005426,717122
2001-09-05,Kenya,853900,14342,596439,243119
2015-05-16,Argentina,531994,1984,473258,56752
2022-10-23,South Korea,1233384,36602,1163989,32793
2012-01-30,Vietnam,1881077,32689,1289498,558890
2021-02-01,China,1195853,436,848998,346419
2023-05-18,Cambodia,442712,12898,319710,110104
2016-08-15,China,1943220,35628,1233713,673879
2010-11-16,Turkey,1698841,17960,1568050,112831
2014-06-25,South Korea,1536007,12096,883289,640622
2006-01-06,China,1670595,44817,1355872,269906
2011-01-04,Pakistan,1158811,19404,911053,228354
2009-05-16,Spain,302586,4614,267174,30798
2019-01-23,Bangladesh,915662,25801,512505,377356
2017-03-13,South Korea,1464086,41161,1213949,208976
2023-02-25,USA,1165878,25488,941785,198605
2002-11-23,Italy,817786,16369,580083,221334
2021-06-27,Cambodia,27972,629,22814,4529
2008-06-27,Russia,598515,765,333187,264563
2010-07-14,South Korea,1678080,41926,1367656,268498
2010-02-27,Brazil,1748477,34731,1125980,587766
2003-09-12,China,935833,19977,474210,441646
2016-06-13,UK,27053,46,20275,6732
2009-11-23,Australia,159753,629,91539,67585
2002-04-10,Turkey,821928,8027,470378,343523
2022-09-14,Mexico,1979793,54296,1741992,183505
2015-05-17,Kenya,109666,1882,73791,33993
2008-08-30,Japan,1338599,38298,923695,376606
2004-04-07,Germany,1392543,29422,1309536,53585
2009-05-13,UK,688223,12149,378920,297154
2001-08-31,Italy,128393,3237,80607,44549
2013-11-01,China,1410528,10209,874472,525847
2017-08-05,France,1236044,12712,1047429,175903
2022-09-17,Russia,1971756,6173,1261360,704223
2023-11-26,Indonesia,1085859,1236,625858,458765
2012-02-15,Japan,1343266,22479,850210,470577
2003-07-23,Mexico,35197,1045,24225,9927
2003-09-26,Japan,1968416,39343,1634308,294765
2017-02-04,Mexico,60628,321,42933,17374
2007-05-21,Brazil,1312410,17581,1157386,137443
2002-09-22,Bangladesh,92337,435,83871,8031
2023-05-17,Cambodia,1437262,26372,1052430,358460
2009-09-07,Argentina,1027242,18842,628188,380212
2017-01-24,USA,1600427,32917,1214156,353354
2021-11-21,Bangladesh,225108,1115,191877,32116
2022-05-21,UK,1292988,4036,830726,458226
2021-01-25,Canada,1136872,18113,793433,325326
2022-06-25,Vietnam,611031,6821,357670,246540
2003-04-05,Malaysia,224095,1800,177639,44656
2020-09-06,Pakistan,1868226,283,1026073,841870
2023-02-21,Mexico,1094183,24045,618494,451644
2021-02-25,Philippines,720999,12519,366925,341555
2011-04-19,Pakistan,1291170,5763,1138620,146787
2000-04-23,Pakistan,1011461,12341,599394,399726
2007-08-17,USA,1581023,330,807627,773066
2002-05-16,Vietnam,1872094,54657,1650129,167308
2002-10-08,Canada,108084,1509,77153,29422
2022-07-30,Bangladesh,849284,10993,710984,127307
2006-03-19,Malaysia,202485,1756,170567,30162
2009-05-04,Brazil,464665,13304,290082,161279
2012-04-19,Turkey,1386847,11938,1084035,290874
2013-03-07,Cambodia,1562526,15203,1058630,488693
2005-07-25,France,216359,1077,180360,34922
2013-10-20,Australia,1348513,10707,1034923,302883
2018-03-22,Pakistan,204953,3251,183536,18166
2000-03-28,Saudi Arabia,531399,11210,494601,25588
2015-03-17,Spain,502376,4490,344985,152901
2009-09-04,Japan,1508191,7210,1269145,231836
2008-10-19,Malaysia,527890,13117,322497,192276
2013-01-27,Philippines,36273,177,20267,15829
2011-11-09,Spain,241149,6956,161572,72621
2020-09-10,Egypt,1307394,16033,1139244,152117
2017-11-09,China,828481,17360,532376,278745
2009-12-10,UK,527761,12024,310198,205539
2024-02-01,Egypt,1164525,12432,867892,284201
2012-09-11,China,900451,22862,458798,418791
2015-09-09,Turkey,725321,18709,547735,158877
2017-11-24,UK,1490660,10270,989273,491117
2015-08-24,Japan,1920079,54051,1688418,177610
2005-01-31,Kenya,354927,4556,205543,144828
2020-02-22,Egypt,1720515,51309,1502036,167170
2023-09-22,Malaysia,300285,6948,174970,118367
2008-02-21,Philippines,1687430,43650,967399,676381
2005-06-17,Saudi Arabia,140128,2009,97121,40998
2004-02-05,Cambodia,211465,114,147143,64208
2012-07-19,Bangladesh,1322736,12501,1084644,225591
2006-11-21,India,1336189,545,912950,422694
2019-09-28,Indonesia,1506686,18061,1411128,77497
2005-02-17,Kenya,723286,21383,609416,92487
2009-12-12,Italy,945797,1341,817044,127412
2024-04-16,Cambodia,1516803,30712,777151,708940
2002-06-28,Pakistan,1639669,179,1411948,227542
2019-03-23,Argentina,300679,3633,160034,137012
2018-01-29,South Africa,1757688,39886,1653726,64076
2011-12-12,Turkey,713945,3817,650029,60099
2003-09-16,Saudi Arabia,1610258,3876,1046666,559716
2004-03-30,Germany,1945770,57667,1074948,813155
2003-03-30,UK,1246892,25222,813408,408262
2013-12-24,South Korea,261532,5753,209787,45992
2017-06-20,UK,9816,83,5353,4380
2010-10-07,Pakistan,1998825,37162,1804809,156854
2008-02-05,Indonesia,328526,6196,303099,19231
2016-12-09,Turkey,326618,6851,186884,132883
2009-12-02,Turkey,178411,2325,103667,72419
2010-07-02,France,235139,3443,152128,79568
2023-11-30,India,1181351,22071,1112511,46769
2001-11-17,Pakistan,1418198,31058,730480,656660
2016-07-07,South Korea,527182,7646,299187,220349
2001-06-01,Canada,713356,17412,448204,247740
2004-04-03,Turkey,1712740,3038,1445782,263920
2018-06-11,Bangladesh,1388228,10682,729356,648190
2018-01-09,UK,1334602,22659,844575,467368
2004-10-27,China,321373,1325,291142,28906
2005-11-26,China,1250267,24218,1043878,182171
2023-01-27,Canada,1273034,2318,1067215,203501
2013-10-13,Brazil,784988,6014,653607,125367
2017-02-02,Turkey,1006613,2903,552745,450965
2008-04-23,South Africa,1661454,36625,1351022,273807
2002-06-14,Canada,1699427,46522,967925,684980
2011-01-09,Pakistan,422365,218,348651,73496
2008-06-04,Germany,503514,11392,441064,51058
2017-01-17,UK,1406939,32910,1261888,112141
2009-03-25,Argentina,824943,1835,666497,156611
2000-05-21,Cambodia,1635987,23439,888875,723673
2009-06-22,Indonesia,597605,3578,527990,66037
2008-09-24,China,1744768,17833,1346985,379950
2021-07-22,Australia,742429,20626,582437,139366
2015-12-02,Cambodia,1272557,26216,1155834,90507
2024-01-08,South Africa,319804,2545,223271,93988
2017-09-10,Germany,1484090,17474,1319607,147009
2010-05-03,Canada,1030554,14653,857217,158684
2017-08-21,Vietnam,1535384,41903,1412090,81391
2012-04-04,Pakistan,851692,24221,606767,220704
2024-02-27,Vietnam,908063,2416,706465,199182
2015-08-30,Indonesia,1781313,42894,1110752,627667
2002-06-30,Malaysia,399298,1055,372835,25408
2020-02-24,Turkey,1521665,29522,1405284,86859
2004-09-12,UK,1447848,12968,1118908,315972
2004-06-22,Turkey,1611541,37699,1381450,192392
2002-09-11,Russia,489466,9658,416943,62865
2015-12-04,South Korea,879573,17564,494638,367371
2007-01-01,Indonesia,1748290,28808,1046282,673200
2002-12-07,Cambodia,274067,3608,228405,42054
2002-06-29,Kenya,136973,2045,88406,46522
2020-02-18,Brazil,370652,9673,201543,159436
2000-03-23,Russia,349768,4568,241205,103995
2022-01-17,Saudi Arabia,1849093,54315,1235875,558903
2023-11-15,Turkey,1246841,32619,981384,232838
2011-01-24,Vietnam,1408468,22948,1095139,290381
2021-02-25,Spain,590036,14053,492687,83296
2017-04-01,Saudi Arabia,1207116,24011,735633,447472
2021-02-05,Thailand,260972,7412,158505,95055
2022-01-16,Malaysia,1490951,38863,1353512,98576
2009-12-09,Brazil,1606432,1965,1398791,205676
2014-06-03,Pakistan,1380210,39024,1300550,40636
2022-07-15,Bangladesh,1703524,38609,1300177,364738
2021-07-08,Japan,1324506,12690,1119939,191877
2018-07-28,Indonesia,1951024,4604,1209219,737201
2010-12-28,Thailand,483501,9036,254172,220293
2017-12-23,Indonesia,1764499,32886,1249828,481785
